PMF_m/z	HOA	COA	BBOA	OOA1	OOA2
67.0184	0	0.00127535	0.0013582	0.00163218	0.000757982
67.0503	0.00012046	0.000254486	0.000156139	0.000069053	0.000103397
67.0548	0.0226343	0.0237874	6.57E-03	6.98E-03	5.59E-03
68.0217	0.00E+00	2.49235E-05	6.26E-05	7.59E-05	3.49E-05
68.0262	0.0011379	0.00243653	0.00578017	0.00273419	0.00384678
68.0581	0.00121166	0.00156348	0.000343163	0.000334889	0.000288587
68.0626	0.00664214	0.00587396	2.39E-03	2.03E-03	0.00159457
68.9977	7.16E-06	0.000986944	0.00183836	0.00303917	0.00193837
69.0296	4.94951E-05	9.89961E-05	2.51E-04	0.000119503	0.000166741
69.034	0.000765034	0.00486863	5.40E-03	0.00592377	0.00289188
69.066	0.000350859	0.000457098	0.000123426	8.79148E-05	7.98E-05
69.0704	4.03E-02	0.0140914	0.00755964	0.00515483	0.00499238
70.0055	0.00011907	0.000165842	4.07E-04	0.0012608	0.000664296
70.0374	3.81E-05	0.000148249	2.36E-04	0.000265856	0.000127954
70.0419	0.00109233	0.00334343	0.00329431	0.00246189	0.00172707
70.0738	0.00217418	0.000874645	0.000403933	0.000260264	0.000265574
70.0782	0.00846032	0.00352332	0.00218282	0.000786289	0.0011675
71.0133	0.000333041	0.00131618	0.00302921	0.0042085	0.00169257
71.0452	4.76348E-05	0.000147401	0.000142151	0.000106194	7.45839E-05
71.0497	0.000577236	0.0051065	0.00145875	0.00499687	0.00156278
71.0816	0.000468294	0.000105577	0.000121052	5.68839E-05	6.71293E-05
71.0861	0.0307842	0.00277783	0.00403317	0.0002586	0.00251194
72	1.74663E-06	1.296E-10	0	0	2.15629E-06
72.0211	0.000243289	0.000440825	0.0015345	0.00148417	0.000943937
72.053	2.77693E-05	0.00020644	6.31607E-05	0.000218159	0.000068476
72.0575	0.00044887	0.000588556	0.000300966	0.00109637	0.000467856
72.0894	0.00169167	0	0.000219784	4.05899E-05	0.000138517
73.0034	1.40168E-07	2.3695E-07	0	0	2.30944E-07
73.0078	5.43835E-05	1.43799E-11	0	0	0.000257013
73.029	0	0.00419649	0.00766147	0.00593841	0
73.0402	0.00186095	3.06096E-05	0.00261399	0.000149166	0.00210324
73.0609	0.000020111	2.26513E-05	1.29303E-05	4.81132E-05	0.000020499
74.0112	8.49336E-06	0	0	0	1.98134E-05
74.0156	0.000761218	0.00176062	0.00129931	0.000887144	0.0010231
74.0368	0.000707333	0.000803603	0.00188584	0.00187616	0.000872566
75.019	0.000049494	0.000114044	8.42965E-05	5.76159E-05	6.65835E-05
75.0235	0.000863519	0.00158102	0.00159653	0.000882555	0.00102127
75.0446	0.00033021	2.33904E-11	0.000434016	0.000609186	0.000253791
76.016	0	1.83492E-10	0	0.000701398	6.96398E-05
76.0268	5.49576E-05	0.000119022	0.000103006	5.48679E-05	6.55013E-05
76.0313	0.00144098	0.00250404	0.00221099	0.00136158	0.00169745
77.0347	0.000094013	0.000155839	0.000143919	0.000089362	0.000110676
77.0391	0.00639494	0.0131118	0.00686827	0.00416852	0.00467929
78.0425	0.000415719	0.000844371	0.000445898	0.000271862	0.000304001
78.047	0.00290315	0.00534079	0.0034023	0.000863943	0.00197742
79.0184	3.99463E-07	3.29827E-10	0.000934074	0.000920002	0.000364431
79.0503	0.000184016	0.000412427	0.000218317	4.65111E-05	0.0001245
79.0548	0.0104027	0.0169736	0.00472559	0.00469982	0.00419811
