PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	OOA1	OOA2
20/06/2012 7:52	20/06/2012 8:10	0.502536737	3.762229177	3.980800752
20/06/2012 8:10	20/06/2012 8:29	0.414159844	4.180310102	3.276303388
20/06/2012 8:29	20/06/2012 8:48	0.339550907	4.522512511	3.319801027
20/06/2012 8:48	20/06/2012 9:06	0.371777495	4.019829279	3.609806559
20/06/2012 9:06	20/06/2012 9:25	0.360865619	3.676397917	3.716603132
20/06/2012 9:25	20/06/2012 9:48	0.444006028	3.608663914	4.095016725
20/06/2012 9:48	20/06/2012 10:07	0.4823828	4.299940068	4.185652465
20/06/2012 10:07	20/06/2012 10:26	0.604333876	4.510995862	3.34425115
20/06/2012 10:26	20/06/2012 10:44	0.739035402	4.494562804	3.819355128
20/06/2012 10:44	20/06/2012 11:12	0.758109855	4.673940182	3.948775074
20/06/2012 11:12	20/06/2012 11:31	0.678058467	4.651241822	3.166833044
20/06/2012 11:31	20/06/2012 11:50	0.525768447	4.923202388	3.303884721
20/06/2012 11:50	20/06/2012 12:08	0.645997553	5.169581835	2.816962834
20/06/2012 12:08	20/06/2012 12:27	0.511137868	4.201169044	2.767944199
20/06/2012 12:27	20/06/2012 12:46	0.543779658	5.138656717	1.407781402
20/06/2012 12:46	20/06/2012 13:04	0.399258777	4.577428323	1.997441789
20/06/2012 13:04	20/06/2012 13:23	0.526593539	4.08138174	2.472089165
20/06/2012 13:23	20/06/2012 13:42	0.430040691	4.918174488	2.080811487
20/06/2012 13:42	20/06/2012 14:00	0.504779097	4.460105339	2.470873342
20/06/2012 14:00	20/06/2012 14:19	0.601523343	4.940952608	2.613830715
20/06/2012 14:19	20/06/2012 14:38	0.446371023	5.562957494	2.463442594
20/06/2012 14:38	20/06/2012 14:56	0.537819121	5.337903918	2.262283628
20/06/2012 14:56	20/06/2012 15:34	0.642407571	4.227750995	3.065874768
20/06/2012 15:34	20/06/2012 15:52	0.528848976	4.960398114	2.775151576
20/06/2012 15:52	20/06/2012 16:11	0.613303464	5.261967009	2.558180638
20/06/2012 16:11	20/06/2012 16:30	0.638705264	5.143992844	2.635924114
20/06/2012 16:30	20/06/2012 16:48	0.581207267	5.498287845	2.674518222
20/06/2012 16:48	20/06/2012 17:07	0.55891061	5.598154457	2.6177216
20/06/2012 17:07	20/06/2012 17:26	0.623425765	5.640330236	2.276719554
20/06/2012 17:26	20/06/2012 17:44	0.583086739	6.787788091	2.30898517
20/06/2012 17:44	20/06/2012 18:03	0.71626217	6.49226799	2.829592063
20/06/2012 18:03	20/06/2012 18:22	0.621908989	6.253276519	3.166801159
20/06/2012 18:22	20/06/2012 18:40	0.607297959	5.991534255	3.186191786
20/06/2012 18:40	20/06/2012 18:59	0.53285877	5.250350138	2.890946203
20/06/2012 18:59	20/06/2012 19:18	0.994531214	4.636393021	3.274604655
20/06/2012 19:18	20/06/2012 19:36	0.65564972	5.556521277	2.623481003
20/06/2012 19:36	20/06/2012 19:55	1.270783814	5.352041448	2.84406807
20/06/2012 19:55	20/06/2012 20:14	1.397145089	4.715005443	3.26005169
20/06/2012 20:14	20/06/2012 20:32	0.912956464	4.471406601	2.756354713
20/06/2012 20:32	20/06/2012 20:51	1.176566867	4.254427581	3.126372219
20/06/2012 20:51	20/06/2012 21:10	1.582141724	5.10291298	2.93767863
20/06/2012 21:10	20/06/2012 22:01	2.515172673	4.998138867	2.454821793
20/06/2012 22:01	20/06/2012 22:20	2.457754365	6.38199584	2.094427573
20/06/2012 22:20	20/06/2012 22:38	2.626466427	5.53573526	2.955709424
20/06/2012 22:38	20/06/2012 23:37	0.9880538	5.601968786	2.925706302
20/06/2012 23:37	20/06/2012 23:56	0.956341701	5.418113745	2.943011221
20/06/2012 23:56	21/06/2012 0:14	0.793005986	5.372337834	2.696678403
21/06/2012 0:14	21/06/2012 0:38	0.599340875	5.188618436	2.946909578
21/06/2012 0:38	21/06/2012 0:56	0.748127798	5.007818095	2.907912107
21/06/2012 0:56	21/06/2012 1:15	0.565123618	4.91212101	3.308990928
21/06/2012 1:15	21/06/2012 1:34	0.641056695	5.224373302	3.093752226
21/06/2012 1:34	21/06/2012 1:52	0.626797544	5.179936799	2.805687879
21/06/2012 1:52	21/06/2012 2:11	0.553051593	5.461147287	2.784121119
21/06/2012 2:11	21/06/2012 2:30	0.506765457	4.089849219	4.014287547
21/06/2012 2:30	21/06/2012 2:48	0.53781496	4.483417349	3.680267691
21/06/2012 2:48	21/06/2012 3:07	0.452991837	5.103085035	3.134278684
