PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1	OOA2_BB-aq	OOA3_BB
23/10/2012 13:27	23/10/2012 13:31	0.131011778	0.094931633	1.006124444	0.539286667	2.223333333
23/10/2012 13:31	23/10/2012 13:36	0.007045511	0.084454889	1.059097778	0.654406667	2.065
23/10/2012 13:36	23/10/2012 13:41	0	0.064159778	1.042928889	0.687226667	2.119251111
23/10/2012 13:41	23/10/2012 13:45	0.004788489	0.088117778	0.958015556	0.769328889	2.185333333
23/10/2012 13:45	23/10/2012 13:50	0	0.068464889	0.981582222	0.649997778	2.221117778
23/10/2012 13:50	23/10/2012 13:55	0.024265333	0.099082222	1.066515556	0.786724444	2.1258
23/10/2012 13:55	23/10/2012 13:59	0	0.109602222	1.161422222	0.635815556	2.257511111
23/10/2012 13:59	23/10/2012 14:04	0.005905533	0.135236222	1.13086	0.708322222	2.137964444
23/10/2012 14:04	23/10/2012 14:09	0.206823778	0.138674667	1.291244444	0.705995556	2.400244444
23/10/2012 14:09	23/10/2012 14:13	0.193564	0.247388667	1.263657778	0.754482222	2.475288889
23/10/2012 14:13	23/10/2012 14:18	0.083376444	0.194092667	1.160822222	0.838246667	2.574733333
23/10/2012 14:18	23/10/2012 14:23	0.210029111	0.137768889	1.222235556	0.736753333	2.5794
23/10/2012 14:23	23/10/2012 14:27	0.095028	0.274966667	1.232673333	0.748033333	2.517466667
23/10/2012 14:27	23/10/2012 14:32	0.151911556	0.320904	1.227011111	0.766071111	2.536555556
23/10/2012 14:32	23/10/2012 14:37	0.151430444	0.307409778	1.390015556	0.739191111	2.442422222
23/10/2012 14:37	23/10/2012 14:41	0.187850667	0.305420444	1.288488889	0.684588889	2.532777778
23/10/2012 14:41	23/10/2012 14:46	0.226348889	0.302893111	1.47706	0.762571111	2.485711111
