PMF_Time_Start_UTC	PMF_Time_Stop_UTC	HOA	BBOA	OOA1_BB	OOA2_BB-aq	OOA3
16/02/2014 9:06	16/02/2014 9:11	0.233086783	2.514640479	0.13239452	2.773278421	2.293399383
16/02/2014 9:11	16/02/2014 9:16	0.183121215	2.688003466	0.170704099	3.547637477	1.592735362
16/02/2014 9:16	16/02/2014 9:20	0.390659582	2.552285488	0.215717685	3.388988373	1.870698583
16/02/2014 9:20	16/02/2014 9:25	0.32572824	2.218693529	0	3.552921681	2.300156986
16/02/2014 9:25	16/02/2014 9:30	0.235679535	2.606206212	0.129556351	4.214754857	1.542999375
16/02/2014 9:30	16/02/2014 9:34	0.253422159	2.622409264	0.168396497	3.634668955	2.257418276
16/02/2014 9:34	16/02/2014 9:39	0.187934205	2.830207707	0.026042893	4.284959643	2.096884927
16/02/2014 9:39	16/02/2014 9:44	0.261437278	2.970369894	0.072047528	3.851753013	2.307443608
16/02/2014 9:44	16/02/2014 9:48	0.232424632	2.763808714	0.144874704	3.954634308	2.156114153
16/02/2014 9:48	16/02/2014 9:53	0.24616468	2.917884814	0.118938649	3.465257339	2.594636171
16/02/2014 9:53	16/02/2014 9:58	0.227384635	3.149309709	0.084220942	3.19519952	2.484682473
16/02/2014 9:58	16/02/2014 10:02	0.306587132	2.581676548	0.100294353	3.859150972	2.380758276
16/02/2014 10:02	16/02/2014 10:07	0.181469258	2.79470201	0	3.760717342	2.529589467
16/02/2014 10:07	16/02/2014 10:12	0.173170571	2.997416021	0.081952008	3.780920552	2.847609285
16/02/2014 10:12	16/02/2014 10:16	0.181074364	3.010761392	0.030386643	3.75991905	2.698656157
16/02/2014 10:16	16/02/2014 10:21	0.17333305	3.162195527	0.273936866	3.588584446	2.536628676
16/02/2014 10:21	16/02/2014 10:26	0.101836855	3.066542382	0	3.801521335	2.724087092
16/02/2014 10:26	16/02/2014 10:30	0.132489762	2.491061272	0.043610471	4.632035094	2.046291556
16/02/2014 10:30	16/02/2014 10:35	0.154219369	2.600013486	0	4.215269793	2.185845293
16/02/2014 10:35	16/02/2014 10:40	0.187453391	2.831936018	0.144453045	3.962659534	1.957150575
16/02/2014 10:40	16/02/2014 10:44	0.178556576	2.51497734	0.093012403	4.493998269	1.945151808
16/02/2014 10:44	16/02/2014 10:49	0.223864557	2.576950022	0.067276366	4.341639711	2.1642464
16/02/2014 10:49	16/02/2014 10:54	0.185489113	2.61531164	0.005363255	3.803560699	2.490328769
16/02/2014 10:54	16/02/2014 10:58	0.167810985	2.333820788	0	4.076113099	2.394834505
16/02/2014 10:58	16/02/2014 11:03	0.136201422	2.512325929	0.083084906	3.949143911	2.253209237
16/02/2014 11:03	16/02/2014 11:08	0.211445561	2.060937994	0	4.968156694	2.032668775
16/02/2014 11:08	16/02/2014 11:12	0.17425442	1.945454104	0.08495674	4.182851064	2.487898517
16/02/2014 11:12	16/02/2014 11:17	0.130746328	2.106093838	0.139504299	4.496615698	1.72661025
16/02/2014 11:17	16/02/2014 11:22	0.075331344	2.197612818	0.238143178	3.903876506	1.921700845
16/02/2014 11:22	16/02/2014 11:26	0.079783298	2.102258089	0	4.240763755	1.958798925
16/02/2014 11:26	16/02/2014 11:31	0.171059376	2.012073785	0.052115774	4.147745787	2.516965825
16/02/2014 11:31	16/02/2014 11:36	0.127218749	2.265866902	0	4.024920466	2.609218078
16/02/2014 11:36	16/02/2014 11:40	0.188204182	1.903960372	0	4.894951741	2.228036874
16/02/2014 11:40	16/02/2014 11:45	0.209895623	2.077328956	0.119155631	4.19334245	2.797364051
16/02/2014 11:45	16/02/2014 11:50	0.195084133	2.384009853	0.0072079	4.344650328	2.508076893
16/02/2014 11:50	16/02/2014 11:54	0.212987172	2.25991483	0	4.514117822	2.156926871
16/02/2014 11:54	16/02/2014 11:59	0.102803928	2.2919701	0.045310539	4.38404066	2.591633895
16/02/2014 11:59	16/02/2014 12:04	0.158015914	2.386606442	0	3.891046892	2.791554448
16/02/2014 12:04	16/02/2014 12:08	0.20589447	2.328363128	0.037332464	3.969361798	2.604317329
16/02/2014 12:08	16/02/2014 12:13	0.250791808	2.074094982	0.005711344	4.873635988	2.412355905
16/02/2014 12:13	16/02/2014 12:18	0.134032027	2.458718973	0	4.181784086	2.760410733
16/02/2014 12:18	16/02/2014 12:22	0.113383424	2.310183326	0.011732805	4.67696543	2.075837944
16/02/2014 12:22	16/02/2014 12:27	0.09171929	2.20864402	0.012282437	4.634910846	2.594280781
16/02/2014 12:27	16/02/2014 12:32	0.174205949	2.303704576	0.132002327	4.458463258	2.351955818
16/02/2014 12:32	16/02/2014 12:36	0.211963019	2.196282949	0.009049932	4.133628222	2.827950515
16/02/2014 12:36	16/02/2014 12:41	0.162198426	2.432654372	0	3.874085112	2.56885296
16/02/2014 12:41	16/02/2014 12:46	0.173622631	2.440183202	0	4.255859208	2.342237344
16/02/2014 12:46	16/02/2014 12:50	0.193014379	2.341265972	0	4.246988476	2.660971558
16/02/2014 12:50	16/02/2014 12:55	0.148398051	2.443771874	0.038807158	4.106668331	2.66336275
16/02/2014 12:55	16/02/2014 13:00	0.214511058	2.100559022	0.073075884	4.593261558	2.583344446
16/02/2014 13:00	16/02/2014 13:04	0.147328041	2.452215938	0	3.789035705	2.816579289
16/02/2014 13:04	16/02/2014 13:09	0.129535195	2.177280193	0	4.632860857	2.196296611
16/02/2014 13:09	16/02/2014 13:14	0.100361186	2.170734914	0.003392851	4.302510833	2.652470615
16/02/2014 13:14	16/02/2014 13:18	0.301996122	2.13930557	0.06281222	4.559680008	2.63594969
16/02/2014 13:18	16/02/2014 13:23	0.082114215	2.546639934	0	4.913301991	1.914719303
16/02/2014 13:23	16/02/2014 13:28	0.066547203	2.055690499	0.12059283	4.718077531	2.379867243
16/02/2014 13:28	16/02/2014 13:32	0.093900235	2.400213045	0	4.042564211	2.785543983
16/02/2014 13:32	16/02/2014 13:37	0.133024308	2.628048	0.015734808	3.804872646	2.457661144
16/02/2014 13:37	16/02/2014 13:42	0.241248063	2.610084794	0.157126217	4.269496631	2.529051242
16/02/2014 13:42	16/02/2014 13:46	0.177959595	2.365229364	0.013480049	4.489139568	2.467006337
16/02/2014 13:46	16/02/2014 13:51	0.121474843	2.466505914	0.064333871	4.017319445	2.760965611
16/02/2014 13:51	16/02/2014 13:56	0.120846321	2.272670912	0	4.443340371	2.788361192
16/02/2014 13:56	16/02/2014 14:00	0.165556168	2.391512936	0.035518452	4.953215774	2.386508476
16/02/2014 14:00	16/02/2014 14:05	0.163506509	2.60780894	0	3.940427289	2.942886347
16/02/2014 14:05	16/02/2014 14:10	0.119277616	2.818369306	0.007579783	3.826459344	3.300832227
16/02/2014 14:10	16/02/2014 14:14	0.129191705	2.517124046	0.17230851	4.046044889	2.817367736
16/02/2014 14:14	16/02/2014 14:19	0.114127864	2.63524749	0.137873707	4.08771395	2.668020511
16/02/2014 14:19	16/02/2014 14:24	0.110515086	2.409173465	0	4.937385835	2.269652903
16/02/2014 14:24	16/02/2014 14:28	0.185427622	2.43259643	0	5.175226086	2.334842024
16/02/2014 14:28	16/02/2014 14:33	0.163373213	2.593676513	0.046945543	4.656349655	2.781528467
16/02/2014 14:33	16/02/2014 14:38	0.191450845	2.348136521	0	5.345541429	2.157379794
16/02/2014 14:38	16/02/2014 14:42	0.144184764	2.55245868	0.120833913	4.572487409	2.522364284
16/02/2014 14:42	16/02/2014 14:47	0.180625263	2.439789002	0.013403191	4.218592943	2.729490803
16/02/2014 14:47	16/02/2014 14:52	0.104617244	2.735642071	0.146632665	4.607091986	2.154202987
16/02/2014 14:52	16/02/2014 14:56	0.160612032	2.153618508	0.040759675	4.446725751	2.58175734
16/02/2014 14:56	16/02/2014 15:01	0.095777463	2.586159008	0.178408148	3.600402828	2.855767478
16/02/2014 15:01	16/02/2014 15:06	0.122430909	2.266901914	0	5.162085903	1.716027153
16/02/2014 15:06	16/02/2014 15:10	0.0488542	2.554447599	0.077793998	4.135567925	2.668250551
16/02/2014 15:10	16/02/2014 15:15	0.131223213	2.48257075	0.141417344	5.035854755	1.916888921
16/02/2014 15:15	16/02/2014 15:20	0.114112483	2.935941423	0.152575372	4.11920774	2.334234693
16/02/2014 15:20	16/02/2014 15:24	0.187846374	3.577418764	0.142554601	3.751642691	2.29779483
16/02/2014 15:24	16/02/2014 15:29	0.181828393	3.43589355	0.211436284	3.615136646	2.572673589
16/02/2014 15:29	16/02/2014 15:34	0.08313768	2.437720858	0.327793632	4.002237854	1.894508583
16/02/2014 15:34	16/02/2014 15:38	0.157072292	3.198102936	0.25853064	3.508427732	2.67950027
16/02/2014 15:38	16/02/2014 15:43	0.183792203	2.395957491	0.0841088	4.433753306	1.943599973
16/02/2014 15:43	16/02/2014 15:48	0.092448748	2.322952999	0.143925389	4.057993504	2.094417543
16/02/2014 15:48	16/02/2014 15:52	0.064683748	2.210965931	0.152856899	3.972020196	2.494758271
16/02/2014 15:52	16/02/2014 15:57	0.1505739	2.127088141	0.154019107	4.226456182	2.280948626
16/02/2014 15:57	16/02/2014 16:02	0.199682034	2.391111217	0.318877276	3.878144673	2.294204709
16/02/2014 16:02	16/02/2014 16:06	0.208804537	2.270222135	0.253836096	4.08913437	2.284557643
16/02/2014 16:06	16/02/2014 16:11	0.117821292	2.29934389	0.133730507	3.952371937	2.312952168
16/02/2014 16:11	16/02/2014 16:16	0.124433759	2.344952709	0.1247209	3.998619409	2.178099916
16/02/2014 16:16	16/02/2014 16:20	0.139210785	1.873594148	0.053491534	4.838083438	1.952129173
